네이버 고유 아이디,시도,군구,읍면동,상호명,도로명주소,지번 주소,카테고리,번호,가상번호,블로그카페리뷰수,영업시간,옵션,총리뷰개수,방문자총리뷰개수,방문자총리뷰점수
18416891,서울특별시,강남구,개포동,밀란국수 개포본점,서울 강남구 개포로28길 4,서울특별시 강남구 개포동 1215,국수,,0507-1368-3216,318,"매일 10:30~22:00 Open 10:40, Break Time 16:00-17:00(일요일은 휴식시간 없음)","주차,포장,제로페이,남/녀 화장실 구분,예약,단체석",318,"1,902",4.47
1411131537,서울특별시,강남구,논현동,순정한우정육식당 논현점,서울 강남구 봉은사로37길 9 지상1층 101호,서울특별시 강남구 논현동 232-19 지상1층 101호,정육식당,,0507-1384-3934,348,,"무선 인터넷,주차,남/녀 화장실 구분,예약,발렛파킹",348,89,
37912785,서울특별시,강남구,논현동,진미평양냉면,서울 강남구 학동로 305-3,서울특별시 강남구 논현동 115-10,냉면,02-515-3469,,"3,389",매일 11:00~21:30 (마지막주문 21시10분),발렛파킹,"3,389","3,210",4.31
1820911105,서울특별시,강남구,논현동,현우동,서울 강남구 논현로149길 53 래성빌딩 1층,서울특별시 강남구 논현동 11-1 래성빌딩 1층,"우동,소바",,0507-1318-3622,"1,125",토요일 11:30~15:00 라스트오더 14:30 | 금요일 11:30~15:00 라스트오더 14:30 | 목요일 11:30~15:00 라스트오더 14:30 | 수요일 11:30~15:00 라스트오더 14:30 | 화요일 11:30~15:00 라스트오더 14:30 | 월요일 11:30~15:00 라스트오더 14:30 | 토요일 17:30~22:00 라스트오더 21:30 | 금요일 17:30~22:00 라스트오더 21:30 | 목요일 17:30~22:00 라스트오더 21:30 | 수요일 17:30~22:00 라스트오더 21:30 | 화요일 17:30~22:00 라스트오더 21:30 | 월요일 17:30~22:00 라스트오더 21:30,"남/녀 화장실 구분,무선 인터넷,제로페이,지역화폐 (모바일형)","1,125","1,366",4.35
1657029013,서울특별시,강남구,논현동,새돌집,"서울 강남구 언주로148길 14 나동 108호(논현동, 동림상가)","서울특별시 강남구 논현동 98-12 나동 108호(, 동림상가)","육류,고기요리",,0507-1363-1972,"3,014",매일 11:00~22:00 브레이크타임 없음,"단체석,발렛파킹,무선 인터넷,예약,남/녀 화장실 구분,제로페이,지역화폐 (모바일형),지역화폐 (카드형),지역화폐 (지류형),배달,포장","3,014",845,4.49
1328337783,서울특별시,강남구,논현동,숨스,서울 강남구 도산대로 154-4 1층,서울특별시 강남구 논현동 6-5 1층,요리주점,,0507-1420-0732,941,,"반려동물 동반,남/녀 화장실 구분,예약,단체석",941,313,
1102942936,서울특별시,강남구,논현동,빽돈 신논현직영점,서울 강남구 학동로2길 58 1층,서울특별시 강남구 논현동 164-13 1층,돼지고기구이,,0507-1414-0773,"1,438",평일 16:00~02:00 | 토요일 14:00~02:00 | 일요일 14:00~00:00,"주차,예약,단체석,제로페이,남/녀 화장실 구분","1,438","1,012",4.69
13419591,서울특별시,강남구,논현동,리북집,서울 강남구 학동로2길 45,서울특별시 강남구 논현동 163-3,"족발,보쌈",02-540-8589,,"1,949",매일 11:00~04:00,"예약,단체석,남/녀 화장실 구분,무선 인터넷,포장,제로페이","1,949","1,899",4.39
1926429712,서울특별시,강남구,논현동,해목 논현점,서울 강남구 선릉로145길 14,서울특별시 강남구 논현동 95-21,일식당,,0507-1466-0277,"1,417","매일 11:30~22:00 오후3시에서 5시까지 브레이크 타임, Last Order 21:00","발렛파킹,단체석,남/녀 화장실 구분,무선 인터넷,포장","1,417","1,019",4.5
11839623,서울특별시,강남구,논현동,대가방 본점,서울 강남구 봉은사로 333 모아엘가 퍼스트홈 1층,서울특별시 강남구 논현동 278-4 모아엘가 퍼스트홈 1층,,,0507-1467-6336,"1,131",평일 11:30~21:30 Break time 15:00~17:00 | 토요일 11:30~21:30 Break time 15:00~16:00 | 공휴일 11:30~21:30 Break time 15:00~16:00 | 일요일 휴무 명절휴무,"예약,단체석,발렛파킹","1,131","1,088",4.29
